id,account,account_screenname,account_location,account_followers,account_following,account_age_days,account_description,is_retweet,original_author,tweeted_on,count_retweeted,count_favorited,hashtags,tweet_text
1297403468269989888,#StayHome,viralvideovlogs,കേരളം,3658,4971,952,"news news news and trends

https://t.co/2ScZqTGWgG",1,0406Guno,2020-08-23 05:21:06,2,0,"Hurricanes, NewOrleans, Gulfcoast, atlanta, gawx, alwx, mswx, lawx",WATCH LIVE 2 #Hurricanes headed for #NewOrleans &amp; the #Gulfcoast. Continuing coverage #atlanta #gawx #alwx #mswx #lawx #nolawx #txwx #trump #biden #polotics #election #covid19 #coronavirus #NOLA van channel1atlanta  https://t.co/ffy6PIn6Sg
1297403455619977219,Richard Grune,0406Guno,,4145,2811,2206,van alle markten ( niet ) thuis !,0,0406Guno,2020-08-23 05:21:03,2,1,"Hurricanes, NewOrleans, Gulfcoast, atlanta, gawx, alwx, mswx, lawx, nolawx, txwx, trump, biden, polotics, election, covid19, coronavirus, NOLA",WATCH LIVE 2 #Hurricanes headed for #NewOrleans &amp; the #Gulfcoast. Continuing coverage #atlanta #gawx #alwx #mswx #lawx #nolawx #txwx #trump #biden #polotics #election #covid19 #coronavirus #NOLA van channel1atlanta  https://t.co/ffy6PIn6Sg
1297402896338825216,Jeremy Styron,freethinkerfile,,1081,1145,3166,Journalist | Musician | Atheist | Pro Wrestling Fan | #exchristian | https://t.co/KwG9Lm0cHA | https://t.co/RukLZaLibF | https://t.co/BErPzCsOXq,0,freethinkerfile,2020-08-23 05:18:49,0,0,"RNC2020, TrumpIsACompleteFailure, Elections2020, election",Let's see. Six Trumps and a token black guy. What a blockbuster lineup this is. 🙄 #RNC2020 #TrumpIsACompleteFailure #Elections2020 #election https://t.co/vrphtywo2c
1297402161433804800,Sky,Amaya_Yue,,354,1488,1865,"TV shows: Arrow, The 100, The Flash, Supergirl & Wynonna Earp ~ Books: Too many to count",1,channel1atlanta,2020-08-23 05:15:54,1,0,"atlanta, gawx, alwx, mswx, lawx",WATCH LIVE 2 Hurricanes headed for New Orleans &amp; the Gulf coast. Continuing coverage #atlanta #gawx #alwx #mswx #lawx #nolawx #txwx #trump #biden #polotics #election #covid19 #coronavirus #NOLA https://t.co/zQksNBakMM
1297401998212571140,CMac 🇺🇸🐬,CMac_Pac,,5315,5840,2322,"Conservative Christian, Commercial Photographer, Wife & Mom. Passionate about my family, my cats and our Country. #KAG2020 #MAGA2020 #TeamTrump. #VoteOutDems",1,KJOKNH,2020-08-23 05:15:15,39,0,,"Tired of the $ in politics.  An under dog with passion &amp; purpose &amp; to the core in American values.  Served his nation with Honors retired &amp; still served Veterans in the community. All heart &amp; a hard charger.  #Endorsement 
@GenDonBolduc
 
#NHPolitics #FITN #Election #NewHampshire https://t.co/yxWqWPnlMJ"
1297401774555328513,Rajesh Kumar Gautam,Rajesh070003,"Vapi, India",487,195,1135,#PRESIDENT #OF #SOUTH #GUJARAT HUMAN RIGHT MISSION ( YOUTH WING ) VALSAD #DISTRICT COMMETTEE MEMBER OF @BJYM CO-INCHARGE VAPI TALUKA @BJYM,0,Rajesh070003,2020-08-23 05:14:22,4,8,"indianpolitics, india, bjp, narendramodi, mumbai, politics, election, india, modi, pkmkb, delhi, rss, amitshah, news, pakistan, pakistani, hindu, hinduism, crpatil, vijayrupani, NarendraModi, bjym","MODI HE TOH SAB MUMKIN HAI 🙏🙏🙏🇮🇳🇮🇳🇮🇳🇮🇳

#indianpolitics #india #bjp #narendramodi #mumbai #politics #election #india #modi #pkmkb #delhi #rss #amitshah #news #pakistan #pakistani #hindu #hinduism #crpatil #vijayrupani #NarendraModi #bjym https://t.co/SyHZYwWEhz"
1297401544761962496,PRAMOD KUMAR TRIVEDI,pktbobl,Pune India,139,301,1804,AAP Volunteer,1,the_hindu,2020-08-23 05:13:27,2,0,DonaldTrump,"#DonaldTrump accused members of the “deep state” at the Food and Drug Administration, without providing evidence, of working to slow testing of #COVID19 vaccines until after the November presidential #election

https://t.co/3GME8UA0Yn"
1297401432287526912,Min Pyae Sone,peterinburma,The Jungles of Burma,120,94,825,"Wordslinger at @myanmarmix. Also featured in @VICE, @FrontierMM, @SCMPNews, @NAR and many more.
I don't necessarily agree with everything I RT or like.",1,FortifyRights,2020-08-23 05:13:00,15,0,"Myanmar, Election, Rohingya","Find out more why #Myanmar’s #Election Commission rejected Abu Tahay’s and other #Rohingya candidacy applications for the upcoming elections.
👉  https://t.co/yNu4M10R7A https://t.co/i0rLnzMqI9"
1297400853293420544,Ryan,ry2000ry1,"South Dakota, USA",88,186,1285,Husband. Dad. Terran. Veteran. Attorney. Voter.,1,muranofiction,2020-08-23 05:10:42,6,0,USPS,"With his vote against the #USPS today, @RepDustyJohnson is aiding and abetting @realDonaldTrump sabotage of our #election. We won't forget. #GOPCorruptionOverCountry #SouthDakota #USPSisEssential #USPSsabotage"
1297400826604818433,Channel 1 Atlanta News NOW,channel1atlanta,"Atlanta, GA",3581,4589,4255,"Apart of #Atlanta, #America, & the #World for over 10 years! #Breaking the #news #sports & #weather 24/7! Live on #Periscope",0,channel1atlanta,2020-08-23 05:10:36,1,2,"atlanta, gawx, alwx, mswx, lawx, nolawx, txwx, trump, biden, polotics, election, covid19, coronavirus, NOLA",WATCH LIVE 2 Hurricanes headed for New Orleans &amp; the Gulf coast. Continuing coverage #atlanta #gawx #alwx #mswx #lawx #nolawx #txwx #trump #biden #polotics #election #covid19 #coronavirus #NOLA https://t.co/zQksNBakMM
1297399491700686851,Art Levine,ArtL7,"Washington, D.C.",1947,4952,4265,"Author, Mental Health, Inc.: How Corruption, Lax Oversight and Failed Reforms Endanger Our Most Vulnerable Citizens (Aug. 15, 2017)",0,ArtL7,2020-08-23 05:05:17,11,21,"USPSsabotage, DeJoy, veterans, Rx, meds, votebymail, election","Inside #USPSsabotage by #DeJoy :How can state officials act now to reverse damage before #veterans die from delayed #Rx #meds &amp;,#votebymail #election disrupted? @RepKatiePorter @benjaminwittes @stevebenen @NormOrnstein @iava  @JoyceWhiteVance @voteathome https://t.co/GOkVTb1wP7"
1297398953680334849,TuskBot - the Walrus of Justice,TuskBot,,966,24,2050,The little bot that speaks more truth than all the MAGAts put together,1,JeauCitizen,2020-08-23 05:03:09,1,0,"Vote, Vote2020, ElectionHub, Election",@votevets @letamericavote @WhenWeAllVote @RockTheVote @LWV #Vote #Vote2020 #ElectionHub #Election https://t.co/MyEnDSAKds
